codigo,nome_estacao,uf,mes,temperatura,ano,mes_num
82098.0,Macapá,AP,janeiro,25.9,1961 - 1991,1
82098.0,Macapá,AP,fevereiro,25.7,1961 - 1991,2
82098.0,Macapá,AP,marco,25.7,1961 - 1991,3
82098.0,Macapá,AP,abril,26.0,1961 - 1991,4
82098.0,Macapá,AP,maio,26.2,1961 - 1991,5
82098.0,Macapá,AP,junho,26.2,1961 - 1991,6
82098.0,Macapá,AP,julho,26.1,1961 - 1991,7
82098.0,Macapá,AP,agosto,26.8,1961 - 1991,8
82098.0,Macapá,AP,setembro,27.5,1961 - 1991,9
82098.0,Macapá,AP,outubro,28.0,1961 - 1991,10
82098.0,Macapá,AP,novembro,27.8,1961 - 1991,11
82098.0,Macapá,AP,dezembro,27.1,1961 - 1991,12
82098.0,Macapá,AP,janeiro,26.3,1981 - 2011,1
82098.0,Macapá,AP,fevereiro,26.0,1981 - 2011,2
82098.0,Macapá,AP,marco,26.2,1981 - 2011,3
82098.0,Macapá,AP,abril,26.5,1981 - 2011,4
82098.0,Macapá,AP,maio,26.7,1981 - 2011,5
82098.0,Macapá,AP,junho,26.7,1981 - 2011,6
82098.0,Macapá,AP,julho,26.7,1981 - 2011,7
82098.0,Macapá,AP,agosto,27.5,1981 - 2011,8
82098.0,Macapá,AP,setembro,28.2,1981 - 2011,9
82098.0,Macapá,AP,outubro,28.5,1981 - 2011,10
82098.0,Macapá,AP,novembro,28.3,1981 - 2011,11
82098.0,Macapá,AP,dezembro,27.5,1981 - 2011,12
82098.0,Macapá,AP,janeiro,26.6,1991 - 2021,1
82098.0,Macapá,AP,fevereiro,26.2,1991 - 2021,2
82098.0,Macapá,AP,marco,26.4,1991 - 2021,3
82098.0,Macapá,AP,abril,26.6,1991 - 2021,4
82098.0,Macapá,AP,maio,27.0,1991 - 2021,5
82098.0,Macapá,AP,junho,27.1,1991 - 2021,6
82098.0,Macapá,AP,julho,27.2,1991 - 2021,7
82098.0,Macapá,AP,agosto,27.9,1991 - 2021,8
82098.0,Macapá,AP,setembro,28.5,1991 - 2021,9
82098.0,Macapá,AP,outubro,28.8,1991 - 2021,10
82098.0,Macapá,AP,novembro,28.7,1991 - 2021,11
82098.0,Macapá,AP,dezembro,27.8,1991 - 2021,12
82113.0,Barcelos,AM,janeiro,25.9,1961 - 1991,1
82113.0,Barcelos,AM,fevereiro,26.3,1961 - 1991,2
82113.0,Barcelos,AM,marco,26.3,1961 - 1991,3
82113.0,Barcelos,AM,abril,26.0,1961 - 1991,4
82113.0,Barcelos,AM,maio,25.6,1961 - 1991,5
82113.0,Barcelos,AM,junho,25.4,1961 - 1991,6
82113.0,Barcelos,AM,julho,25.4,1961 - 1991,7
82113.0,Barcelos,AM,agosto,25.7,1961 - 1991,8
82113.0,Barcelos,AM,setembro,25.9,1961 - 1991,9
82113.0,Barcelos,AM,outubro,26.2,1961 - 1991,10
82113.0,Barcelos,AM,novembro,26.3,1961 - 1991,11
82113.0,Barcelos,AM,dezembro,26.3,1961 - 1991,12
82113.0,Barcelos,AM,janeiro,26.9,1981 - 2011,1
82113.0,Barcelos,AM,fevereiro,26.8,1981 - 2011,2
82113.0,Barcelos,AM,marco,26.7,1981 - 2011,3
82113.0,Barcelos,AM,abril,26.4,1981 - 2011,4
82113.0,Barcelos,AM,maio,26.0,1981 - 2011,5
82113.0,Barcelos,AM,junho,25.9,1981 - 2011,6
82113.0,Barcelos,AM,julho,26.0,1981 - 2011,7
82113.0,Barcelos,AM,agosto,26.5,1981 - 2011,8
82113.0,Barcelos,AM,setembro,26.7,1981 - 2011,9
82113.0,Barcelos,AM,outubro,27.0,1981 - 2011,10
82113.0,Barcelos,AM,novembro,27.0,1981 - 2011,11
82113.0,Barcelos,AM,dezembro,27.0,1981 - 2011,12
82113.0,Barcelos,AM,janeiro,27.1,1991 - 2021,1
82113.0,Barcelos,AM,fevereiro,27.0,1991 - 2021,2
82113.0,Barcelos,AM,marco,26.8,1991 - 2021,3
82113.0,Barcelos,AM,abril,26.5,1991 - 2021,4
82113.0,Barcelos,AM,maio,26.3,1991 - 2021,5
82113.0,Barcelos,AM,junho,26.2,1991 - 2021,6
82113.0,Barcelos,AM,julho,26.3,1991 - 2021,7
82113.0,Barcelos,AM,agosto,26.8,1991 - 2021,8
82113.0,Barcelos,AM,setembro,27.1,1991 - 2021,9
82113.0,Barcelos,AM,outubro,27.3,1991 - 2021,10
82113.0,Barcelos,AM,novembro,27.2,1991 - 2021,11
82113.0,Barcelos,AM,dezembro,27.3,1991 - 2021,12
82181.0,Monte Alegre,PA,janeiro,25.9,1961 - 1991,1
82181.0,Monte Alegre,PA,fevereiro,25.6,1961 - 1991,2
82181.0,Monte Alegre,PA,marco,25.7,1961 - 1991,3
82181.0,Monte Alegre,PA,abril,25.9,1961 - 1991,4
82181.0,Monte Alegre,PA,maio,26.0,1961 - 1991,5
82181.0,Monte Alegre,PA,junho,25.9,1961 - 1991,6
82181.0,Monte Alegre,PA,julho,26.1,1961 - 1991,7
82181.0,Monte Alegre,PA,agosto,26.7,1961 - 1991,8
82181.0,Monte Alegre,PA,setembro,27.4,1961 - 1991,9
82181.0,Monte Alegre,PA,outubro,27.7,1961 - 1991,10
82181.0,Monte Alegre,PA,novembro,27.5,1961 - 1991,11
82181.0,Monte Alegre,PA,dezembro,27.0,1961 - 1991,12
82181.0,Monte Alegre,PA,janeiro,26.5,1981 - 2011,1
82181.0,Monte Alegre,PA,fevereiro,26.0,1981 - 2011,2
82181.0,Monte Alegre,PA,marco,26.1,1981 - 2011,3
82181.0,Monte Alegre,PA,abril,26.2,1981 - 2011,4
82181.0,Monte Alegre,PA,maio,26.4,1981 - 2011,5
82181.0,Monte Alegre,PA,junho,26.4,1981 - 2011,6
82181.0,Monte Alegre,PA,julho,26.6,1981 - 2011,7
82181.0,Monte Alegre,PA,agosto,27.3,1981 - 2011,8
82181.0,Monte Alegre,PA,setembro,27.9,1981 - 2011,9
82181.0,Monte Alegre,PA,outubro,28.2,1981 - 2011,10
82181.0,Monte Alegre,PA,novembro,27.9,1981 - 2011,11
82181.0,Monte Alegre,PA,dezembro,27.4,1981 - 2011,12
82181.0,Monte Alegre,PA,janeiro,26.7,1991 - 2021,1
82181.0,Monte Alegre,PA,fevereiro,26.2,1991 - 2021,2
82181.0,Monte Alegre,PA,marco,26.2,1991 - 2021,3
82181.0,Monte Alegre,PA,abril,26.3,1991 - 2021,4
82181.0,Monte Alegre,PA,maio,26.5,1991 - 2021,5
82181.0,Monte Alegre,PA,junho,26.6,1991 - 2021,6
82181.0,Monte Alegre,PA,julho,26.8,1991 - 2021,7
82181.0,Monte Alegre,PA,agosto,27.6,1991 - 2021,8
82181.0,Monte Alegre,PA,setembro,28.1,1991 - 2021,9
82181.0,Monte Alegre,PA,outubro,28.4,1991 - 2021,10
82181.0,Monte Alegre,PA,novembro,28.1,1991 - 2021,11
82181.0,Monte Alegre,PA,dezembro,27.5,1991 - 2021,12
82184.0,Porto de Moz,PA,janeiro,25.9,1961 - 1991,1
82184.0,Porto de Moz,PA,fevereiro,25.6,1961 - 1991,2
82184.0,Porto de Moz,PA,marco,26.0,1961 - 1991,3
82184.0,Porto de Moz,PA,abril,26.1,1961 - 1991,4
82184.0,Porto de Moz,PA,maio,26.2,1961 - 1991,5
82184.0,Porto de Moz,PA,junho,26.2,1961 - 1991,6
82184.0,Porto de Moz,PA,julho,26.2,1961 - 1991,7
82184.0,Porto de Moz,PA,agosto,26.7,1961 - 1991,8
82184.0,Porto de Moz,PA,setembro,27.0,1961 - 1991,9
82184.0,Porto de Moz,PA,outubro,27.3,1961 - 1991,10
82184.0,Porto de Moz,PA,novembro,27.2,1961 - 1991,11
82184.0,Porto de Moz,PA,dezembro,26.7,1961 - 1991,12
82184.0,Porto de Moz,PA,janeiro,26.4,1981 - 2011,1
82184.0,Porto de Moz,PA,fevereiro,26.1,1981 - 2011,2
82184.0,Porto de Moz,PA,marco,26.3,1981 - 2011,3
82184.0,Porto de Moz,PA,abril,26.4,1981 - 2011,4
82184.0,Porto de Moz,PA,maio,26.6,1981 - 2011,5
82184.0,Porto de Moz,PA,junho,26.7,1981 - 2011,6
82184.0,Porto de Moz,PA,julho,26.7,1981 - 2011,7
82184.0,Porto de Moz,PA,agosto,27.4,1981 - 2011,8
82184.0,Porto de Moz,PA,setembro,27.7,1981 - 2011,9
82184.0,Porto de Moz,PA,outubro,28.0,1981 - 2011,10
82184.0,Porto de Moz,PA,novembro,27.9,1981 - 2011,11
82184.0,Porto de Moz,PA,dezembro,27.2,1981 - 2011,12
82184.0,Porto de Moz,PA,janeiro,26.7,1991 - 2021,1
82184.0,Porto de Moz,PA,fevereiro,26.3,1991 - 2021,2
82184.0,Porto de Moz,PA,marco,26.5,1991 - 2021,3
82184.0,Porto de Moz,PA,abril,26.6,1991 - 2021,4
82184.0,Porto de Moz,PA,maio,26.9,1991 - 2021,5
82184.0,Porto de Moz,PA,junho,27.1,1991 - 2021,6
82184.0,Porto de Moz,PA,julho,27.1,1991 - 2021,7
82184.0,Porto de Moz,PA,agosto,27.9,1991 - 2021,8
82184.0,Porto de Moz,PA,setembro,28.2,1991 - 2021,9
82184.0,Porto de Moz,PA,outubro,28.4,1991 - 2021,10
82184.0,Porto de Moz,PA,novembro,28.4,1991 - 2021,11
82184.0,Porto de Moz,PA,dezembro,27.6,1991 - 2021,12
82191.0,Belém,PA,janeiro,25.6,1961 - 1991,1
82191.0,Belém,PA,fevereiro,25.4,1961 - 1991,2
82191.0,Belém,PA,marco,25.5,1961 - 1991,3
82191.0,Belém,PA,abril,25.6,1961 - 1991,4
82191.0,Belém,PA,maio,25.8,1961 - 1991,5
82191.0,Belém,PA,junho,26.0,1961 - 1991,6
82191.0,Belém,PA,julho,25.7,1961 - 1991,7
82191.0,Belém,PA,agosto,26.0,1961 - 1991,8
82191.0,Belém,PA,setembro,26.0,1961 - 1991,9
82191.0,Belém,PA,outubro,26.4,1961 - 1991,10
82191.0,Belém,PA,novembro,26.5,1961 - 1991,11
82191.0,Belém,PA,dezembro,26.2,1961 - 1991,12
82191.0,Belém,PA,janeiro,26.1,1981 - 2011,1
82191.0,Belém,PA,fevereiro,25.8,1981 - 2011,2
82191.0,Belém,PA,marco,26.0,1981 - 2011,3
82191.0,Belém,PA,abril,26.2,1981 - 2011,4
82191.0,Belém,PA,maio,26.5,1981 - 2011,5
82191.0,Belém,PA,junho,26.5,1981 - 2011,6
82191.0,Belém,PA,julho,26.3,1981 - 2011,7
82191.0,Belém,PA,agosto,26.7,1981 - 2011,8
82191.0,Belém,PA,setembro,26.8,1981 - 2011,9
82191.0,Belém,PA,outubro,26.9,1981 - 2011,10
82191.0,Belém,PA,novembro,27.1,1981 - 2011,11
82191.0,Belém,PA,dezembro,26.7,1981 - 2011,12
82191.0,Belém,PA,janeiro,26.3,1991 - 2021,1
82191.0,Belém,PA,fevereiro,26.1,1991 - 2021,2
82191.0,Belém,PA,marco,26.3,1991 - 2021,3
82191.0,Belém,PA,abril,26.5,1991 - 2021,4
82191.0,Belém,PA,maio,26.8,1991 - 2021,5
82191.0,Belém,PA,junho,26.9,1991 - 2021,6
82191.0,Belém,PA,julho,26.8,1991 - 2021,7
82191.0,Belém,PA,agosto,27.1,1991 - 2021,8
82191.0,Belém,PA,setembro,27.3,1991 - 2021,9
82191.0,Belém,PA,outubro,27.3,1991 - 2021,10
82191.0,Belém,PA,novembro,27.4,1991 - 2021,11
82191.0,Belém,PA,dezembro,27.0,1991 - 2021,12
82246.0,Belterra,PA,janeiro,24.8,1961 - 1991,1
82246.0,Belterra,PA,fevereiro,24.5,1961 - 1991,2
82246.0,Belterra,PA,marco,24.6,1961 - 1991,3
82246.0,Belterra,PA,abril,24.7,1961 - 1991,4
82246.0,Belterra,PA,maio,24.6,1961 - 1991,5
82246.0,Belterra,PA,junho,24.4,1961 - 1991,6
82246.0,Belterra,PA,julho,24.3,1961 - 1991,7
82246.0,Belterra,PA,agosto,24.8,1961 - 1991,8
82246.0,Belterra,PA,setembro,25.4,1961 - 1991,9
82246.0,Belterra,PA,outubro,25.8,1961 - 1991,10
82246.0,Belterra,PA,novembro,25.8,1961 - 1991,11
82246.0,Belterra,PA,dezembro,25.3,1961 - 1991,12
82246.0,Belterra,PA,janeiro,25.5,1981 - 2011,1
82246.0,Belterra,PA,fevereiro,25.0,1981 - 2011,2
82246.0,Belterra,PA,marco,25.0,1981 - 2011,3
82246.0,Belterra,PA,abril,25.2,1981 - 2011,4
82246.0,Belterra,PA,maio,25.2,1981 - 2011,5
82246.0,Belterra,PA,junho,25.0,1981 - 2011,6
82246.0,Belterra,PA,julho,24.9,1981 - 2011,7
82246.0,Belterra,PA,agosto,25.5,1981 - 2011,8
82246.0,Belterra,PA,setembro,26.2,1981 - 2011,9
82246.0,Belterra,PA,outubro,26.6,1981 - 2011,10
82246.0,Belterra,PA,novembro,26.5,1981 - 2011,11
82246.0,Belterra,PA,dezembro,26.1,1981 - 2011,12
82246.0,Belterra,PA,janeiro,25.8,1991 - 2021,1
82246.0,Belterra,PA,fevereiro,25.3,1991 - 2021,2
82246.0,Belterra,PA,marco,25.3,1991 - 2021,3
82246.0,Belterra,PA,abril,25.5,1991 - 2021,4
82246.0,Belterra,PA,maio,25.6,1991 - 2021,5
82246.0,Belterra,PA,junho,25.6,1991 - 2021,6
82246.0,Belterra,PA,julho,25.6,1991 - 2021,7
82246.0,Belterra,PA,agosto,26.2,1991 - 2021,8
82246.0,Belterra,PA,setembro,26.9,1991 - 2021,9
82246.0,Belterra,PA,outubro,27.1,1991 - 2021,10
82246.0,Belterra,PA,novembro,27.0,1991 - 2021,11
82246.0,Belterra,PA,dezembro,26.5,1991 - 2021,12
82263.0,Cametá,PA,janeiro,26.2,1961 - 1991,1
82263.0,Cametá,PA,fevereiro,25.9,1961 - 1991,2
82263.0,Cametá,PA,marco,26.1,1961 - 1991,3
82263.0,Cametá,PA,abril,26.3,1961 - 1991,4
82263.0,Cametá,PA,maio,26.5,1961 - 1991,5
82263.0,Cametá,PA,junho,26.6,1961 - 1991,6
82263.0,Cametá,PA,julho,26.4,1961 - 1991,7
82263.0,Cametá,PA,agosto,26.7,1961 - 1991,8
82263.0,Cametá,PA,setembro,26.9,1961 - 1991,9
82263.0,Cametá,PA,outubro,27.2,1961 - 1991,10
82263.0,Cametá,PA,novembro,27.3,1961 - 1991,11
82263.0,Cametá,PA,dezembro,26.9,1961 - 1991,12
82263.0,Cametá,PA,janeiro,26.6,1981 - 2011,1
82263.0,Cametá,PA,fevereiro,26.3,1981 - 2011,2
82263.0,Cametá,PA,marco,26.4,1981 - 2011,3
82263.0,Cametá,PA,abril,26.6,1981 - 2011,4
82263.0,Cametá,PA,maio,26.9,1981 - 2011,5
82263.0,Cametá,PA,junho,27.1,1981 - 2011,6
82263.0,Cametá,PA,julho,27.1,1981 - 2011,7
82263.0,Cametá,PA,agosto,27.5,1981 - 2011,8
82263.0,Cametá,PA,setembro,27.7,1981 - 2011,9
82263.0,Cametá,PA,outubro,27.9,1981 - 2011,10
82263.0,Cametá,PA,novembro,28.0,1981 - 2011,11
82263.0,Cametá,PA,dezembro,27.4,1981 - 2011,12
82263.0,Cametá,PA,janeiro,26.8,1991 - 2021,1
82263.0,Cametá,PA,fevereiro,26.5,1991 - 2021,2
82263.0,Cametá,PA,marco,26.6,1991 - 2021,3
82263.0,Cametá,PA,abril,26.9,1991 - 2021,4
82263.0,Cametá,PA,maio,27.3,1991 - 2021,5
82263.0,Cametá,PA,junho,27.6,1991 - 2021,6
82263.0,Cametá,PA,julho,27.6,1991 - 2021,7
82263.0,Cametá,PA,agosto,28.1,1991 - 2021,8
82263.0,Cametá,PA,setembro,28.2,1991 - 2021,9
82263.0,Cametá,PA,outubro,28.4,1991 - 2021,10
82263.0,Cametá,PA,novembro,28.4,1991 - 2021,11
82263.0,Cametá,PA,dezembro,27.8,1991 - 2021,12
82331.0,Manaus,AM,janeiro,26.1,1961 - 1991,1
82331.0,Manaus,AM,fevereiro,25.9,1961 - 1991,2
82331.0,Manaus,AM,marco,26.0,1961 - 1991,3
82331.0,Manaus,AM,abril,26.2,1961 - 1991,4
82331.0,Manaus,AM,maio,26.2,1961 - 1991,5
82331.0,Manaus,AM,junho,26.4,1961 - 1991,6
82331.0,Manaus,AM,julho,26.5,1961 - 1991,7
82331.0,Manaus,AM,agosto,27.3,1961 - 1991,8
82331.0,Manaus,AM,setembro,27.7,1961 - 1991,9
82331.0,Manaus,AM,outubro,27.7,1961 - 1991,10
82331.0,Manaus,AM,novembro,27.2,1961 - 1991,11
82331.0,Manaus,AM,dezembro,26.6,1961 - 1991,12
82331.0,Manaus,AM,janeiro,26.3,1981 - 2011,1
82331.0,Manaus,AM,fevereiro,26.3,1981 - 2011,2
82331.0,Manaus,AM,marco,26.3,1981 - 2011,3
82331.0,Manaus,AM,abril,26.4,1981 - 2011,4
82331.0,Manaus,AM,maio,26.6,1981 - 2011,5
82331.0,Manaus,AM,junho,26.7,1981 - 2011,6
82331.0,Manaus,AM,julho,27.0,1981 - 2011,7
82331.0,Manaus,AM,agosto,27.6,1981 - 2011,8
82331.0,Manaus,AM,setembro,28.0,1981 - 2011,9
82331.0,Manaus,AM,outubro,28.0,1981 - 2011,10
82331.0,Manaus,AM,novembro,27.6,1981 - 2011,11
82331.0,Manaus,AM,dezembro,26.9,1981 - 2011,12
82331.0,Manaus,AM,janeiro,26.6,1991 - 2021,1
82331.0,Manaus,AM,fevereiro,26.6,1991 - 2021,2
82331.0,Manaus,AM,marco,26.6,1991 - 2021,3
82331.0,Manaus,AM,abril,26.7,1991 - 2021,4
82331.0,Manaus,AM,maio,27.0,1991 - 2021,5
82331.0,Manaus,AM,junho,27.3,1991 - 2021,6
82331.0,Manaus,AM,julho,27.5,1991 - 2021,7
82331.0,Manaus,AM,agosto,28.2,1991 - 2021,8
82331.0,Manaus,AM,setembro,28.6,1991 - 2021,9
82331.0,Manaus,AM,outubro,28.5,1991 - 2021,10
82331.0,Manaus,AM,novembro,28.0,1991 - 2021,11
82331.0,Manaus,AM,dezembro,27.2,1991 - 2021,12
82336.0,Itacoatiara,AM,janeiro,25.8,1961 - 1991,1
82336.0,Itacoatiara,AM,fevereiro,25.8,1961 - 1991,2
82336.0,Itacoatiara,AM,marco,25.9,1961 - 1991,3
82336.0,Itacoatiara,AM,abril,26.0,1961 - 1991,4
82336.0,Itacoatiara,AM,maio,26.3,1961 - 1991,5
82336.0,Itacoatiara,AM,junho,26.3,1961 - 1991,6
82336.0,Itacoatiara,AM,julho,26.2,1961 - 1991,7
82336.0,Itacoatiara,AM,agosto,26.7,1961 - 1991,8
82336.0,Itacoatiara,AM,setembro,27.1,1961 - 1991,9
82336.0,Itacoatiara,AM,outubro,27.2,1961 - 1991,10
82336.0,Itacoatiara,AM,novembro,27.1,1961 - 1991,11
82336.0,Itacoatiara,AM,dezembro,26.4,1961 - 1991,12
82336.0,Itacoatiara,AM,janeiro,26.1,1981 - 2011,1
82336.0,Itacoatiara,AM,fevereiro,26.2,1981 - 2011,2
82336.0,Itacoatiara,AM,marco,26.3,1981 - 2011,3
82336.0,Itacoatiara,AM,abril,26.4,1981 - 2011,4
82336.0,Itacoatiara,AM,maio,26.7,1981 - 2011,5
82336.0,Itacoatiara,AM,junho,26.7,1981 - 2011,6
82336.0,Itacoatiara,AM,julho,26.8,1981 - 2011,7
82336.0,Itacoatiara,AM,agosto,27.2,1981 - 2011,8
82336.0,Itacoatiara,AM,setembro,27.9,1981 - 2011,9
82336.0,Itacoatiara,AM,outubro,28.0,1981 - 2011,10
